RANK,NEIGHBORHOOD,MEDIAN INCOME
145,Littlerock,60781
146,Veterans Administration,60561
147,Artesia,60538
148,Santa Fe Springs,60445
149,Lomita,59059
150,Northwest Antelope Valley,58899
151,Mid-Wilshire,58483
152,Tujunga,58001
153,Gramercy Park,57983
154,Mount Washington,57725
155,Sawtelle,57710
156,San Pedro,57508
157,Alondra Park,57177
158,Glendale,57112
159,San Gabriel,56687
160,Pico Rivera,56683
161,Baldwin Park,56585
162,North El Monte,56577
163,Unincorporated Catalina Island,56295
164,Sun Village,56175
165,Lancaster,56069
166,La Puente,55902
167,Montecito Heights,55901
168,Valley Village,55470
169,Harbor City,55454
170,Monterey Park,55210
171,Reseda,54771
172,Silver Lake,54339
173,Pomona,54242
174,San Fernando,54068
175,Atwater Village,53872
176,Bellflower,53325
177,Azusa,53299
178,Alhambra,53224
179,Avalon,53200
180,Lawndale,53150
181,Gardena,52897
182,West Hollywood,52855
183,Montebello,52623
184,North Hills,52456
185,Northeast Antelope Valley,52234
186,Lake Los Angeles,52146
187,Canoga Park,51601
188,Sun Valley,51290
189,Long Beach,50985
190,Los Feliz,50793
191,Palms,50684
192,Glassell Park,50098
193,Paramount,49815
194,Rosemead,49387
195,Pacoima,49066
196,Elysian Valley,49013
197,Athens,48824
198,Walnut Park,48750
199,Lynwood,48518
200,South Gate,48312
201,West Compton,48093
202,Harbor Gateway,47849
203,Larchmont,47780
204,South El Monte,46912
205,Hawaiian Gardens,46853
206,Inglewood,46574
207,Commerce,46245
208,Valley Glen,46175
209,Manchester Square,46093
210,El Sereno,45866
211,Leimert Park,45865
212,Highland Park,45478
213,Panorama City,44468
214,East Compton,44439
215,El Monte,44415
216,Mid-City,43711
217,Hawthorne,43602
218,Compton,43157
219,North Hollywood,42791
220,Cypress Park,42615
221,Bell Gardens,41532
222,Maywood,41203
223,Van Nuys,41134
224,Wilmington,40627
225,Bell,40556
226,Hyde Park,39460
227,Huntington Park,39185
228,Cudahy,39048
229,East Los Angeles,38621
230,Willowbrook,38224
231,West Adams,38209
232,Baldwin Hills/Crenshaw,37948
233,Lennox,37937
234,Chesterfield Square,37737
235,Echo Park,37708
236,Harvard Park,37013
237,Florence-Firestone,34408
238,Exposition Park,33999
239,Hollywood,33694
240,Boyle Heights,33235
241,Jefferson Park,32654
242,Westmont,31572
243,Central-Alameda,31559
244,Arlington Heights,31421
245,Green Meadows,31347
246,Vermont Vista,31272
247,Vermont-Slauson,31236
248,Harvard Heights,31173
249,Historic South-Central,30882
250,Lincoln Heights,30579
251,Koreatown,30558
252,East Hollywood,29927
253,Vermont Square,29904
254,Broadway-Manchester,29897
255,Adams-Normandie,29606
256,South Park,29518
257,Florence,29447
258,Elysian Park,28263
259,Vermont Knolls,27730
260,Westlake,26757
261,Pico-Union,26424
262,Watts,25161
263,Chinatown,22754
264,University Park,18533
265,Downtown,15003
