RANK,NEIGHBORHOOD,DIVERSITY INDEX
117,Westwood,0.543
118,Lopez/Kagel Canyons,0.543
119,West Adams,0.541
120,Exposition Park,0.539
121,La Habra Heights,0.539
122,West Compton,0.539
123,Echo Park,0.538
124,Monterey Park,0.537
125,Rancho Palos Verdes,0.537
126,Venice,0.534
127,Stevenson Ranch,0.534
128,Harvard Park,0.533
129,La Verne,0.53
130,Chatsworth,0.527
131,Vermont Square,0.527
132,Vermont Vista,0.526
133,Sunland,0.526
134,Montecito Heights,0.524
135,Willowbrook,0.523
136,Vermont Knolls,0.521
137,Azusa,0.521
138,Chesterfield Square,0.52
139,Citrus,0.519
140,Compton,0.519
141,Harvard Heights,0.517
142,Westmont,0.514
143,La Crescenta-Montrose,0.514
144,Glassell Park,0.513
145,Bradbury,0.513
146,Valley Village,0.512
147,Green Meadows,0.512
148,Broadway-Manchester,0.502
149,Vermont-Slauson,0.498
150,Unincorporated Catalina Island,0.495
151,Glendora,0.495
152,Hyde Park,0.488
153,Valinda,0.482
154,Watts,0.482
155,Santa Clarita,0.479
156,Panorama City,0.479
157,Sun Valley,0.479
158,Redondo Beach,0.474
159,Hancock Park,0.473
160,Tarzana,0.471
161,West Hills,0.47
162,Rolling Hills Estates,0.469
163,Sylmar,0.466
164,Santa Monica,0.465
165,Ridge Route,0.462
166,Baldwin Hills/Crenshaw,0.457
167,Toluca Lake,0.457
168,La Cañada Flintridge,0.457
169,South Whittier,0.457
170,Ladera Heights,0.456
171,Arleta,0.455
172,Angeles Crest,0.452
173,Playa del Rey,0.451
174,Highland Park,0.449
175,Santa Fe Springs,0.448
176,Chinatown,0.445
177,Paramount,0.445
178,Pico-Robertson,0.442
179,Hawaiian Gardens,0.436
180,Lincoln Heights,0.436
181,El Monte,0.435
182,Sherman Oaks,0.434
183,Florence,0.434
184,Hollywood Hills,0.433
185,Westlake,0.43
186,Quartz Hill,0.43
187,Castaic Canyons,0.43
188,Northwest Palmdale,0.421
189,Green Valley,0.42
190,Montebello,0.417
191,East Compton,0.416
192,Palos Verdes Estates,0.398
193,Rolling Hills,0.396
194,Southeast Antelope Valley,0.393
195,West Los Angeles,0.393
196,Elizabeth Lake,0.39
197,Lake Hughes,0.389
198,Tujunga Canyons,0.384
199,El Segundo,0.38
200,Studio City,0.378
201,Marina del Rey,0.377
202,Woodland Hills,0.374
203,Northwest Antelope Valley,0.372
204,Cheviot Hills,0.364
205,Avocado Heights,0.362
206,Baldwin Park,0.36
207,Sierra Madre,0.353
208,Leona Valley,0.353
209,Leimert Park,0.351
210,Beverlywood,0.348
211,Encino,0.346
212,Manchester Square,0.346
213,South Park,0.345
214,West Puente Valley,0.334
215,West Hollywood,0.33
216,El Sereno,0.325
217,Beverly Hills,0.32
218,Beverly Grove,0.319
219,Acton,0.316
220,Cypress Park,0.311
221,Lynwood,0.309
222,Century City,0.309
223,Unincorporated Santa Monica Mountains,0.309
224,West Whittier-Los Nietos,0.307
225,La Puente,0.306
226,Agoura Hills,0.304
227,South San Jose Hills,0.304
228,Bel-Air,0.301
229,Calabasas,0.298
230,Brentwood,0.283
231,Agua Dulce,0.282
232,Fairfax,0.277
233,Hollywood Hills West,0.273
234,Hermosa Beach,0.272
235,Central-Alameda,0.267
236,Pico-Union,0.264
237,Manhattan Beach,0.262
238,Westlake Village,0.261
239,Pacoima,0.259
240,South El Monte,0.248
241,View Park-Windsor Hills,0.246
242,Wilmington,0.245
243,Florence-Firestone,0.243
244,Gramercy Park,0.241
245,Beverly Crest,0.23
246,Historic South-Central,0.229
247,Topanga,0.227
248,Pico Rivera,0.221
249,Irwindale,0.212
250,Pacific Palisades,0.21
251,Hidden Hills,0.207
252,Malibu,0.207
253,Lennox,0.197
254,San Fernando,0.192
255,Bell,0.173
256,South Gate,0.147
257,Vernon,0.14
258,Commerce,0.125
259,Bell Gardens,0.119
260,Cudahy,0.117
261,Boyle Heights,0.115
262,Huntington Park,0.094
263,Walnut Park,0.089
264,Maywood,0.069
265,East Los Angeles,0.065
